Departamento,Departamento_id,Latitude,Longitude
ANTIOQUIA,05,6.998365652998146,-75.83215541791333
ATLANTICO,08,10.671986190754112,-74.96992616750742
SANTAFE DE BOGOTA D.C,11,4.283144357570814,-74.20764438001827
BOLIVAR,13,9.121854340067232,-74.76041450696717
BOYACA,15,5.845797149992652,-73.29134261017904
CALDAS,17,5.348289525973581,-75.37683090630634
CAQUETA,18,0.6638338927834754,-73.80648592505943
CAUCA,19,3.0058195313160816,-78.22607059118238
CESAR,20,9.2875385675177,-73.52026083399723
CORDOBA,23,8.52839487181572,-75.69318195680316
CUNDINAMARCA,25,4.7522204736598175,-74.1704531335475
CHOCO,27,6.0132488477224895,-77.00087176536192
HUILA,41,2.66223179570421,-75.59841049039564
LA GUAJIRA,44,11.448842698907132,-72.48970015389413
MAGDALENA,47,10.186560349568417,-74.26153118380682
META,50,3.21474020441228,-73.10775737216727
NARIÃ‘O,52,1.571061041731772,-77.81887980548318
NORTE DE SANTANDER,54,7.868284643898708,-72.94590044768618
QUINDIO,63,4.494701075202817,-75.69843781880328
RISARALDA,66,5.057948654953826,-75.88973839786368
SANTANDER,68,6.607984568932848,-73.42481406539476
SUCRE,70,9.132337857471793,-75.20247646433184
TOLIMA,73,4.073187723237385,-75.20868961168935
VALLE DEL CAUCA,76,3.977402115562715,-76.56306888247519
ARAUCA,81,6.478197899194001,-71.17665285007348
CASANARE,85,5.442626299603535,-71.73312189212865
PUTUMAYO,86,0.33539367842907625,-75.61464721973927
AMAZONAS,91,-1.4443904915288217,-71.73039202709526
GUAINIA,94,2.8286072447442225,-68.85610140418048
GUAVIARE,95,1.9114814606011687,-71.86451114802924
VAUPES,97,0.3179750560345287,-70.56903333631121
VICHADA,99,4.249613568106919,-69.25736781964316
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,88,12.546629693548889,-81.7159228286044
